source_id,source_name,publisher,base_url,access_mode,automation_level,primary_uses,free_only_notes
SRC-001,MCA Company Master Data,Ministry of Corporate Affairs via data.gov.in,https://www.data.gov.in/catalog/company-master-data,Free API key,Automatable,"CIN; name; status; registration; address; capital; classification","Seed source; retain catalog coverage date and retrieval date"
SRC-002,MCA public portal,Ministry of Corporate Affairs,https://www.mca.gov.in/,Public search,Manual or permitted download,"Company identity; public notices; filing metadata","Do not buy paid documents; do not bypass CAPTCHA"
SRC-003,NSE corporate filings,National Stock Exchange of India,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,Public filings,Semi-automatable,"Annual reports; financials; shareholding; announcements","Observe site rate limits and access controls"
SRC-004,BSE corporate announcements,BSE India,https://www.bseindia.com/corporates/ann.html,Public filings,Semi-automatable,"Annual reports; results; shareholding; announcements","Use only publicly downloadable records"
SRC-005,Company investor-relations sites,Issuing company,,Public website,Semi-automatable,"Annual reports; policies; subsidiaries; management; contacts","Verify that the domain belongs to the company"
SRC-006,SEBI enforcement orders,Securities and Exchange Board of India,https://www.sebi.gov.in/enforcement/orders.html,Public documents,Semi-automatable,"Orders; directions; findings; penalties; market actions","Separate interim orders from final findings"
SRC-007,Enforcement Directorate press releases,Directorate of Enforcement,https://www.enforcementdirectorate.gov.in/media/press-release/,Public documents,Semi-automatable,"Investigations; attachment; prosecution; adjudication","Treat agency statements as attributed claims unless finally adjudicated"
SRC-008,SFIO,Serious Fraud Investigation Office,https://sfio.gov.in/,Public documents,Manual,"Investigation and prosecution references","Capture exact procedural status"
SRC-009,NCLT,National Company Law Tribunal,https://nclt.gov.in/index.php/case-number-wise,Public case search,Manual or semi-automatable,"Insolvency; oppression; merger; restoration; orders","Preserve case number; party role; order date and page"
SRC-010,NCLAT,National Company Law Appellate Tribunal,https://nclat.nic.in/display-board/judgement_details,Public judgments,Semi-automatable,"Appeals and outcomes","Link appeal to originating proceeding"
SRC-011,IBBI,Insolvency and Bankruptcy Board of India,https://ibbi.gov.in/en/claims/corporate-personals,Public records,Semi-automatable,"CIRP; liquidation; claims; professionals","Use the record's stated as-of date"
SRC-012,eCourts High Court services,eCommittee Supreme Court of India,https://hcservices.ecourts.gov.in/hcservices/,Public case search,Manual,"High Court case status and orders","Do not automate CAPTCHA"
SRC-013,GST taxpayer search,Goods and Services Tax Network,https://services.gst.gov.in/services/searchtp,Public taxpayer search,Manual,"GSTIN; legal/trade name; status; business places","Human lookup only where CAPTCHA or access controls apply"
SRC-014,Udyam search,Ministry of MSME,https://udyamregistration.gov.in/SearchRegistration.aspx,Public search,Manual,"MSME registration and activity evidence","Do not bypass OTP or CAPTCHA"
SRC-015,EPFO establishment search,Employees' Provident Fund Organisation,https://unifiedportal-emp.epfindia.gov.in/publicPortal/no-auth/misReport/home/loadEstSearchHome,Public search,Manual,"Employment footprint and establishment identity","Record search date; absence is not proof of no employees"
SRC-016,DGFT,Directorate General of Foreign Trade,https://www.dgft.gov.in/CP/,Public search,Manual,"IEC and foreign-trade footprint","Use public verification only"
SRC-017,FoSCoS advance search,Food Safety and Standards Authority of India,https://foscos.fssai.gov.in/advance-fbo-search,Public search,Manual,"FSSAI licences and operating premises","Sector-specific coverage"
SRC-018,IP India,Office of the Controller General of Patents Designs and Trade Marks,https://ipindia.gov.in/pages/e-services,Public search,Manual,"Trademarks; patents; proprietor/address links","Match applicants carefully; names are not unique"
SRC-019,Central Public Procurement Portal,Government of India,https://eprocure.gov.in/epublish/app?component=v,Public tenders,Semi-automatable,"Tender participation; awards; buyers; values","Distinguish bid participation from contract award"
SRC-020,NFRA,National Financial Reporting Authority,https://nfra.gov.in/documents/,Public documents,Semi-automatable,"Audit quality orders and findings","Preserve auditor and entity roles"
SRC-021,CCI,Competition Commission of India,https://www.cci.gov.in/,Public orders,Semi-automatable,"Combination; conduct; penalty orders","Record final and appellate status"
SRC-022,Credit-rating rationales,"CRISIL; CARE Ratings; ICRA; India Ratings; Acuite",,Public reports,Semi-automatable,"Revenue; debt; facilities; lenders; group entities; operating profile","Use only freely published rationales and record report date"
